Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
ACU,1,1,1,1,1.0,3.0,8
ACY,0,2,0,2,0.0,0.0,4
AE,1,2,2,1,1.0,1.0,8
AGE,2,2,2,2,0.0,,8
AIM,0,0,0,0,0.0,0.0,0
AINC,1,0,1,0,0.0,0.0,2
AIRI,2,2,2,2,0.0,0.0,8
AMS,2,2,2,2,0.0,0.0,8
APT,0,0,0,1,2.0,1.0,4
AUMN,1,0,1,0,0.0,0.0,2
AWX,3,1,2,1,2.0,0.0,9
BATL,2,0,2,0,,,4
BDL,1,0,1,0,1.0,0.0,3
BDR,0,0,2,0,0.0,0.0,2
BHB,2,3,2,3,0.0,1.0,11
BKTI,2,1,2,1,2.0,0.0,8
BRG,0,0,1,0,0.0,0.0,1
BRN,1,2,1,3,1.0,0.0,8
BTG,0,2,0,2,3.0,1.0,8
CBOE,2,2,2,2,0.0,2.0,10
CCF,2,0,2,0,2.0,2.0,8
CDOR,2,1,2,1,0.0,1.0,7
CEI,2,0,2,0,0.0,1.0,5
CIX,0,1,2,1,0.0,0.0,4
CKX,1,0,1,0,1.0,0.0,3
CMCL,2,2,2,2,0.0,3.0,11
CMT,2,1,2,1,2.0,0.0,8
COHN,1,2,1,2,1.0,0.0,7
CQP,2,0,2,0,2.0,0.0,6
CRHM,2,0,2,0,0.0,0.0,4
CRMD,2,0,2,0,0.0,0.0,4
CTEK,2,0,0,2,0.0,3.0,7
CTO,2,2,1,2,1.0,2.0,10
CVM,0,0,0,2,0.0,0.0,2
CVR,2,0,2,1,2.0,0.0,7
CVU,1,2,2,2,2.0,0.0,9
DIT,1,1,0,3,0.0,2.0,7
DLA,1,1,1,1,1.0,1.0,6
DPW,1,0,2,1,0.0,0.0,4
DSS,2,2,2,2,2.0,1.0,11
ELA,2,2,2,2,2.0,2.0,12
ELMD,3,1,3,1,2.0,3.0,13
EMX,0,0,1,2,0.0,1.0,4
ENSV,0,0,0,0,2.0,0.0,2
EPM,1,0,1,0,0.0,0.0,2
ESP,0,0,0,0,0.0,0.0,0
EVBN,2,1,2,1,3.0,1.0,10
FRD,1,0,3,0,2.0,0.0,6
FTSI,2,0,2,0,0.0,1.0,5
GDP,2,1,2,1,0.0,3.0,9
GORO,1,0,1,0,1.0,0.0,3
GPL,1,2,1,2,1.0,0.0,7
GSAT,2,1,2,0,0.0,0.0,5
GTE,1,0,1,0,0.0,1.0,3
GV,1,2,1,3,1.0,2.0,10
HMG,0,0,1,2,1.0,1.0,5
HUSA,2,0,2,0,0.0,0.0,4
IBIO,2,1,2,1,0.0,0.0,6
IGC,0,1,0,0,0.0,0.0,1
IHT,1,3,1,1,0.0,0.0,6
IMH,0,0,0,0,2.0,0.0,2
INFU,1,2,1,3,1.0,2.0,10
INS,1,0,1,0,1.0,1.0,4
INTT,1,0,1,0,1.0,1.0,4
INUV,3,0,3,0,2.0,0.0,8
ISDR,1,3,1,3,1.0,0.0,9
ISR,1,2,1,2,0.0,0.0,6
ITP,1,2,1,2,0.0,2.0,8
JOB,3,0,1,0,0.0,0.0,4
KLR,1,0,1,0,0.0,0.0,2
LCTX,2,1,2,1,0.0,0.0,6
LEU,0,2,1,2,0.0,0.0,5
LGL,2,3,2,3,3.0,1.0,14
LNG,2,2,2,0,0.0,0.0,6
LODE,0,0,2,1,3.0,0.0,6
MCF,2,0,2,0,0.0,0.0,4
MHH,1,0,2,0,1.0,1.0,5
MLSS,2,2,2,0,0.0,0.0,6
MMX,3,0,3,0,2.0,,8
MYO,2,3,2,3,0.0,0.0,10
NAVB,1,0,1,0,0.0,0.0,2
NBY,1,0,1,0,0.0,0.0,2
NEN,0,2,0,0,1.0,2.0,5
NES,0,1,0,0,0.0,0.0,1
NHC,1,1,3,1,2.0,1.0,9
NOG,2,1,2,1,0.0,1.0,7
NSPR,2,0,2,0,0.0,0.0,4
NTIP,2,1,2,1,2.0,1.0,9
NTN,2,1,2,1,0.0,0.0,6
OBLG,2,0,2,0,0.0,0.0,4
PED,2,3,2,3,0.0,1.0,11
PLX,0,0,0,0,0.0,0.0,0
PRK,2,2,2,2,2.0,2.0,12
PW,0,2,0,2,1.0,0.0,5
REI,2,0,2,0,0.0,1.0,5
RHE,1,2,1,2,0.0,0.0,6
RMED,0,1,2,3,0.0,,6
SEB,3,2,2,2,1.0,1.0,11
SENS,2,0,1,0,0.0,0.0,3
SIF,1,2,1,1,1.0,2.0,8
SNMP,2,0,2,0,0.0,2.0,6
SSY,1,2,0,3,2.0,0.0,8
SVT,0,1,0,3,0.0,1.0,5
TGB,0,2,0,2,1.0,0.0,5
TMP,0,0,0,0,0.0,0.0,0
TPHS,0,1,1,1,1.0,0.0,4
TRXC,0,1,3,0,0.0,0.0,4
UAVS,2,3,2,2,0.0,0.0,9
USAS,0,0,2,1,0.0,0.0,3
UUU,1,1,1,1,1.0,0.0,5
UUUU,2,1,3,1,0.0,0.0,7
VOLT,2,0,2,0,0.0,0.0,4
XXII,2,1,2,1,0.0,0.0,6
ZDGE,3,2,3,2,1.0,0.0,11
