Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
AACG,1,1,1,1,2.0,0.0,6
AAL,0,1,1,0,0.0,1.0,3
AAME,2,2,2,1,1.0,0.0,8
AAOI,0,2,0,2,0.0,0.0,4
AAON,1,3,1,3,1.0,3.0,12
AAPL,3,2,3,2,3.0,2.0,15
AAWW,2,2,2,2,2.0,2.0,12
ABCB,1,1,1,1,1.0,2.0,7
ABMD,1,0,1,0,1.0,1.0,4
ABST,0,1,1,3,0.0,0.0,5
ABTX,1,1,1,1,0.0,0.0,4
ACAD,2,1,0,0,0.0,0.0,3
ACBI,1,0,1,0,2.0,1.0,5
ACGL,2,1,2,1,0.0,1.0,7
ACHC,1,1,1,1,0.0,1.0,5
ACIU,0,1,0,1,0.0,1.0,3
ACIW,2,1,3,1,2.0,2.0,11
ACLS,2,2,2,2,2.0,2.0,12
ACNB,2,2,2,2,0.0,0.0,8
ACOR,1,0,1,0,1.0,0.0,3
ACRS,0,0,2,2,0.0,0.0,4
ACRX,0,0,0,3,0.0,0.0,3
ACTG,1,2,1,2,3.0,2.0,11
ADBE,3,0,3,1,1.0,2.0,10
ADES,2,1,1,1,1.0,0.0,6
ADI,0,0,0,0,0.0,0.0,0
ADMA,2,0,3,1,0.0,0.0,6
ADMS,0,0,0,0,0.0,0.0,0
ADP,1,1,3,0,1.0,1.0,7
ADPT,0,0,1,1,0.0,0.0,2
ADSK,3,0,3,1,2.0,3.0,12
ADTN,1,1,0,1,1.0,2.0,6
ADUS,3,1,1,1,1.0,1.0,8
ADV,1,0,1,0,,,2
AEGN,1,0,1,0,0.0,0.0,2
AEIS,1,2,1,3,0.0,2.0,9
AEP,1,3,1,0,1.0,2.0,8
AESE,0,0,1,0,0.0,,1
AEYE,2,2,2,2,0.0,0.0,8
AEZS,3,2,3,2,2.0,0.0,12
AFIN,1,0,1,0,0.0,0.0,2
AFMD,2,1,2,1,0.0,0.0,6
AGEN,0,0,2,1,0.0,0.0,3
AGFS,1,0,1,0,0.0,0.0,2
AGIO,0,0,2,2,0.0,0.0,4
AGNC,2,1,2,1,2.0,1.0,9
AGYS,1,1,1,3,1.0,0.0,7
AHPI,3,2,1,2,2.0,0.0,10
AIH,1,2,1,2,,,6
AIHS,0,2,1,2,0.0,0.0,5
AIMC,1,1,1,1,0.0,1.0,5
AINV,0,2,0,2,1.0,0.0,5
AIRG,1,0,1,0,0.0,1.0,3
AIRT,2,0,2,0,2.0,2.0,8
AKAM,2,2,2,2,0.0,1.0,9
AKBA,0,2,0,1,0.0,0.0,3
AKTS,0,1,3,2,0.0,0.0,6
ALBO,2,0,2,0,0.0,0.0,4
ALCO,2,1,2,1,1.0,0.0,7
ALEC,0,0,1,0,0.0,0.0,1
ALGM,3,1,3,1,,,8
ALGN,1,0,1,0,1.0,2.0,5
ALGT,2,1,1,1,0.0,1.0,6
ALIM,1,0,1,0,0.0,0.0,2
ALJJ,0,2,1,2,1.0,0.0,6
ALNY,3,1,3,1,0.0,0.0,8
ALPN,0,0,3,3,0.0,0.0,6
ALRM,3,2,1,2,1.0,1.0,10
ALRS,0,3,0,3,1.0,,7
ALT,0,0,1,2,0.0,0.0,3
ALTA,1,2,1,2,1.0,0.0,7
ALTM,1,0,1,0,3.0,2.0,7
ALTR,3,0,3,0,2.0,0.0,8
