Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
A,1,0,1,0,2.0,1.0,5
AA,1,0,1,0,0.0,0.0,2
AAIC,2,1,2,1,1.0,2.0,9
AAP,1,2,1,2,0.0,1.0,7
AAT,0,1,1,1,0.0,1.0,4
AB,3,2,3,2,3.0,2.0,15
ABB,2,0,3,0,2.0,2.0,9
ABBV,2,2,1,2,1.0,1.0,9
ABC,1,1,1,0,2.0,0.0,5
ABEV,1,2,1,2,2.0,1.0,9
ABG,1,1,1,0,0.0,2.0,5
ABM,1,2,2,0,1.0,0.0,6
ABR,0,0,0,0,0.0,2.0,2
ABT,3,2,3,2,1.0,0.0,11
ACA,0,1,0,1,0.0,1.0,3
ACC,2,0,3,0,2.0,0.0,7
ACCO,1,1,1,1,2.0,2.0,8
ACEL,2,0,2,0,2.0,,6
ACI,0,3,0,3,0.0,,6
ACM,0,1,1,0,2.0,0.0,4
ACN,2,0,2,0,3.0,0.0,7
ACRE,0,1,0,1,0.0,0.0,2
ADC,3,1,3,1,2.0,1.0,11
ADM,2,2,2,0,2.0,2.0,10
ADNT,1,0,1,0,2.0,0.0,4
ADS,1,0,1,0,1.0,0.0,3
ADT,0,1,2,1,0.0,0.0,4
AEE,1,2,1,0,0.0,2.0,6
AEL,2,1,2,1,1.0,2.0,9
AEM,1,3,1,3,1.0,1.0,10
AEO,1,1,1,3,2.0,1.0,9
AER,0,2,0,2,0.0,2.0,6
AES,1,2,1,0,2.0,0.0,6
AFG,2,1,2,1,2.0,1.0,9
AFI,1,0,1,0,0.0,0.0,2
AFL,2,1,1,1,1.0,3.0,9
AG,1,1,1,1,2.0,2.0,8
AGCO,1,2,1,2,1.0,2.0,9
AGI,1,1,1,2,3.0,2.0,10
AGM,2,2,2,2,1.0,1.0,10
AGO,2,0,2,2,1.0,0.0,7
AGR,1,0,3,0,0.0,1.0,5
AGRO,2,2,3,2,2.0,0.0,11
AGS,2,1,2,1,0.0,0.0,6
AGX,1,0,3,0,1.0,0.0,5
AHC,2,1,2,0,0.0,2.0,7
AHH,2,1,0,3,0.0,1.0,7
AHT,0,1,1,1,0.0,0.0,3
AIG,1,1,1,1,1.0,1.0,6
AIN,2,0,2,0,0.0,0.0,4
AIR,2,1,2,1,2.0,0.0,8
AIT,1,0,1,0,0.0,0.0,2
AIV,0,0,0,0,1.0,1.0,2
AIZ,2,1,3,0,2.0,1.0,9
AJG,1,1,1,0,1.0,2.0,6
AJRD,2,0,2,3,2.0,0.0,9
AJX,1,2,1,2,1.0,2.0,9
AKR,2,1,2,1,0.0,1.0,7
AL,0,1,0,1,0.0,1.0,3
ALB,1,0,2,0,1.0,0.0,4
ALC,1,0,1,0,2.0,,4
ALEX,2,0,1,0,2.0,0.0,5
ALG,1,0,1,1,2.0,1.0,6
ALK,0,1,1,1,0.0,1.0,4
ALL,2,1,2,1,2.0,1.0,9
ALLY,2,1,2,1,0.0,1.0,7
ALSN,1,0,1,0,1.0,0.0,3
ALV,1,0,1,0,1.0,1.0,4
ALX,2,0,2,0,2.0,1.0,7
AMBC,2,0,2,0,0.0,1.0,5
AMC,0,0,2,0,0.0,1.0,3
AME,1,0,1,0,1.0,0.0,3
AMG,1,0,3,0,0.0,2.0,6
AMH,1,0,1,0,2.0,3.0,7
AMK,1,0,1,0,2.0,,4
AMN,2,0,2,2,0.0,0.0,6
AMP,3,0,1,0,2.0,0.0,6
AMPY,2,0,2,0,0.0,1.0,5
AMRC,1,2,1,3,2.0,2.0,11
AMT,3,2,3,2,0.0,1.0,11
AMX,3,3,1,2,1.0,0.0,10
AN,1,1,1,0,0.0,1.0,4
ANET,1,0,1,0,1.0,1.0,4
ANF,1,1,1,0,3.0,1.0,7
ANH,2,0,2,0,1.0,0.0,5
ANTM,0,2,1,3,2.0,1.0,9
AON,2,0,2,0,2.0,1.0,7
AOS,1,0,1,0,1.0,0.0,3
AP,2,2,2,0,2.0,0.0,8
APAM,1,2,1,2,2.0,2.0,10
APD,1,0,1,0,1.0,1.0,4
APH,1,2,1,2,1.0,2.0,9
APLE,1,0,1,0,0.0,0.0,2
APO,2,1,2,1,2.0,1.0,9
APRN,2,2,2,2,0.0,0.0,8
APTS,0,0,1,0,0.0,0.0,1
APTV,1,0,1,0,1.0,2.0,5
AQN,2,2,2,0,1.0,2.0,9
AQUA,1,1,1,1,0.0,2.0,6
AR,1,0,1,0,2.0,0.0,4
ARC,1,0,1,0,1.0,2.0,5
ARCH,1,0,1,0,0.0,0.0,2
ARCO,2,2,2,0,0.0,2.0,8
ARD,1,1,1,2,2.0,1.0,8
ARE,1,2,1,2,2.0,2.0,10
ARES,2,1,2,1,1.0,2.0,9
ARGO,0,0,3,1,0.0,1.0,5
ARI,2,1,2,1,0.0,0.0,6
ARL,0,0,2,0,2.0,1.0,5
ARLO,1,2,1,0,0.0,0.0,4
ARMK,1,0,1,0,0.0,0.0,2
AROC,0,0,0,0,1.0,1.0,2
ARR,2,0,2,0,2.0,0.0,6
ARW,3,0,3,0,2.0,2.0,10
ASB,2,0,2,0,2.0,0.0,6
ASC,0,1,0,1,0.0,0.0,2
ASGN,1,0,1,0,0.0,3.0,5
ASH,2,0,1,0,2.0,0.0,5
ASPN,2,1,0,1,0.0,0.0,4
ASR,2,0,3,0,2.0,1.0,8
ASX,2,2,3,2,1.0,2.0,12
AT,2,2,2,0,2.0,1.0,9
ATCO,1,1,1,1,1.0,0.0,5
ATGE,1,3,3,1,1.0,1.0,10
ATH,2,1,2,1,2.0,1.0,9
ATHM,2,0,2,0,1.0,2.0,7
ATI,2,0,2,0,0.0,0.0,4
ATKR,1,0,1,0,1.0,0.0,3
ATO,2,2,2,0,2.0,2.0,10
ATR,1,0,1,0,1.0,1.0,4
ATTO,2,0,2,0,0.0,1.0,5
AVA,2,3,2,0,2.0,1.0,10
AVAL,2,1,2,1,2.0,1.0,9
AVB,0,0,0,0,2.0,2.0,4
AVD,3,1,3,1,1.0,0.0,9
AVLR,3,1,3,1,0.0,0.0,8
AVNS,1,0,1,1,1.0,0.0,4
AVNT,1,2,1,2,2.0,0.0,8
AVTR,3,2,3,2,2.0,2.0,14
AVY,1,2,3,0,1.0,2.0,9
AVYA,0,1,0,1,1.0,0.0,3
AWI,1,1,1,0,0.0,0.0,3
AWK,1,1,1,1,1.0,2.0,7
AWR,0,1,0,1,0.0,1.0,3
AX,1,3,1,3,1.0,2.0,11
AXL,1,0,1,0,1.0,0.0,3
AXP,1,0,1,0,1.0,0.0,3
AXTA,1,0,1,0,1.0,0.0,3
AYI,1,0,1,0,1.0,0.0,3
AYX,1,0,1,0,3.0,0.0,5
AZO,1,1,1,3,1.0,1.0,8
AZRE,2,2,2,2,0.0,1.0,9
AZUL,2,2,2,3,0.0,0.0,9
AZZ,3,3,2,3,2.0,1.0,14
B,3,0,1,0,1.0,0.0,5
BA,1,0,1,0,0.0,0.0,2
BABA,2,2,2,0,2.0,2.0,10
BAC,1,0,1,0,1.0,0.0,3
BAH,1,3,1,3,1.0,1.0,10
BAK,3,0,2,1,0.0,0.0,6
BALY,2,2,2,3,2.0,0.0,11
BAM,1,1,1,0,2.0,0.0,5
BANC,0,0,0,0,1.0,0.0,1
BAP,1,1,1,1,2.0,1.0,7
BAX,1,0,1,2,1.0,2.0,7
BBAR,1,2,1,2,2.0,2.0,10
BBDC,2,0,2,0,1.0,2.0,7
BBVA,1,0,1,0,1.0,0.0,3
BBW,2,2,2,2,2.0,2.0,12
BBY,1,3,3,3,2.0,2.0,14
BC,1,1,1,2,1.0,2.0,8
BCC,1,2,1,2,1.0,1.0,8
BCEI,1,0,1,0,3.0,2.0,7
BCO,1,1,1,1,0.0,1.0,5
BCS,1,0,1,0,0.0,0.0,2
BCSF,0,0,0,0,0.0,1.0,1
BDC,1,0,1,0,1.0,0.0,3
BDN,0,1,0,1,1.0,2.0,5
BDX,1,0,1,0,2.0,1.0,5
BE,1,0,2,0,0.0,0.0,3
BEDU,2,1,2,1,2.0,0.0,8
BEN,1,0,1,0,2.0,1.0,5
BEP,2,0,2,0,0.0,0.0,4
BERY,0,3,3,3,0.0,2.0,11
BEST,1,1,1,0,0.0,0.0,3
BFAM,2,1,1,0,0.0,2.0,6
BFS,1,1,1,1,2.0,0.0,6
BG,2,2,3,2,2.0,2.0,13
BGS,1,0,1,0,0.0,0.0,2
BGSF,2,0,2,0,2.0,1.0,7
BH,2,0,2,0,1.0,2.0,7
BHC,1,2,1,2,1.0,0.0,7
BHE,1,0,1,0,1.0,0.0,3
BHLB,1,0,1,0,1.0,0.0,3
BHR,2,1,1,1,0.0,0.0,5
BIG,1,0,1,2,1.0,2.0,7
BIO,1,2,3,2,0.0,1.0,9
BIP,1,1,3,1,0.0,2.0,8
BJ,0,1,0,0,2.0,1.0,4
BK,0,0,0,0,0.0,1.0,1
BKD,1,0,0,0,0.0,0.0,1
BKE,1,2,1,2,1.0,3.0,10
BKH,3,3,3,0,3.0,2.0,14
BKI,2,1,3,0,2.0,0.0,8
BKR,2,0,3,0,2.0,0.0,7
BKU,2,0,2,0,2.0,1.0,7
BLD,1,0,1,0,1.0,1.0,4
BLK,1,2,1,2,0.0,3.0,9
BLL,1,2,1,2,0.0,1.0,7
BLX,3,1,3,1,2.0,1.0,11
BMA,1,2,1,2,0.0,2.0,8
BMI,1,2,1,2,1.0,1.0,8
BMO,2,1,2,1,2.0,0.0,8
BMY,1,3,3,3,1.0,0.0,11
BNED,2,0,2,0,2.0,0.0,6
BNS,1,1,1,1,3.0,0.0,7
BOH,3,1,3,1,2.0,0.0,10
BOOT,2,1,3,1,1.0,0.0,8
BORR,1,1,2,0,0.0,,4
BOX,1,0,1,0,0.0,0.0,2
BP,0,0,1,0,0.0,0.0,1
BR,2,0,2,2,0.0,0.0,6
BRBR,1,0,1,2,1.0,,5
BRC,1,0,1,0,0.0,1.0,3
BRFS,1,1,3,3,1.0,2.0,11
BRO,1,1,1,1,1.0,3.0,8
BRT,0,0,2,2,0.0,0.0,4
BRX,3,0,3,0,1.0,0.0,7
BSAC,3,2,3,2,1.0,0.0,11
BSBR,2,1,2,1,2.0,0.0,8
BSIG,1,3,1,0,3.0,0.0,8
BSM,3,0,3,0,1.0,0.0,7
BSMX,1,0,1,0,1.0,1.0,4
BSX,2,3,2,3,2.0,0.0,12
BTU,1,0,3,0,0.0,0.0,4
BUD,1,0,1,0,3.0,2.0,7
BURL,1,0,3,2,2.0,2.0,10
